"Event year","Territory","1st order fertility rate","2nd order fertility rate","3rd order and more fertility rate","Total fertility rate","Notes"
"2019","Friuli-Venezia Giulia","062","047","017","125",""
"2019","Emilia-Romagna","063","048","020","130",""
"2019","Toscana","061","044","015","121",""
"2019","Umbria","060","045","015","120",""
"2019","Marche","058","045","017","119",""
"2019","Lazio","061","043","014","118",""
"2019","Abruzzo","059","043","015","117",""
"2019","Molise","056","047","012","115",""
"2019","Campania","059","051","021","131",""
"2019","Puglia","057","047","016","120",""
"2019","Basilicata","057","044","014","115",""
"2019","Calabria","060","046","019","126",""
"2019","Sicilia","060","051","023","133",""
"2019","Sardegna","051","037","012","100",""
"2019","Italia","061","047","018","127",""
"2020","Piemonte","062","045","018","125",""
"2020","Valle d'Aosta/Vallée d'Aoste","057","048","018","123",""
"2020","Liguria","061","044","018","123",""
"2020","Lombardia","060","047","019","127",""
"2020","Trentino-Alto Adige/Südtirol","069","058","027","154",""
"2020","Provincia Autonoma di Bolzano","073","066","032","171",""
